,Brand,Model,Trim,Manufature Year,Stock Type,Mileage,Dealer Name,Distance,Rating,Review Count,Badge Label,Price
132,Toyota,Tacoma, SR5,2018,Used,"49,674 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$28,998"
133,Tesla,Model, 3 Performance,2022,Used,432 mi.,Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$75,991"
134,Hyundai,Santa, Fe SE 2.4,2019,Used,"78,448 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$22,327"
135,BMW,X1, xDrive28i,2018,Used,"34,761 mi.",EchoPark Automotive Baltimore,8 mi. from 21227,4.8,"2,826 ",Good Deal,"$29,369"
136,Hyundai,Santa, Fe SE 2.4,2019,Used,"84,562 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$22,129"
137,BMW,435, i,2014,Used,"110,493 mi.",National Motors of Ellicott City,8 mi. from 21227,4.3,418 ,Great Deal | $498 under,"$19,995"
138,Subaru,WRX, Premium,2021,Used,"11,639 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Good Deal,"$35,500"
139,Honda,Pilot, EX-L,2014,Used,"119,593 mi.",Norris Auto Group,10 mi. from 21227,4.6,311 ,Great Deal | $726 under,"$17,987"
140,Chevrolet,Silverado, 1500 LT,2015,Used,"65,959 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Good Deal,"$32,000"
141,Jeep,Compass, Sport,2018,Used,"37,815 mi.",Antwerpen Chrysler Jeep Dodge Ram,6 mi. from 21227,4.5,"1,939 ",Good Deal,"$22,931"
142,Honda,Civic, EX,2012,Used,"85,557 mi.",Heritage Subaru Catonsville,6 mi. from 21227,4.8,"1,140 ",Fair Deal,"$14,200"
143,Toyota,Camry, Hybrid SE,2020,Used,"22,931 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$33,990"
144,Lexus,ES, 350 Base,2021,Used,"12,052 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$42,990"
145,Lincoln,MKZ, Reserve I,2019,Used,"48,446 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$28,500"
146,GMC,Sierra, 1500 SLE,2020,Used,"34,579 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Good Deal | $134 under,"$42,500"
147,Land,Rover, Range Rover 5.0L Supercharged,2018,Used,"38,255 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$84,000"
148,Subaru,Legacy, ,2021,Used,"30,250 mi.",Heritage Subaru Catonsville,6 mi. from 21227,4.8,"1,140 ",Good Deal,"$32,000"
149,Nissan,Rogue, S,2017,Nissan Certified,"60,845 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$20,777"
150,Ford,F-150, XL,2019,Used,"14,972 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$39,000"
151,Ford,F-150, XLT,2019,Used,"40,737 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$41,500"
152,Acura,TL, Technology,2009,Used,"119,774 mi.",Star Cars,7 mi. from 21227,4.4,26 ,Fair Deal,"$12,999"
153,Acura,MDX, ,2008,Used,"121,104 mi.",Star Cars,7 mi. from 21227,4.4,26 ,"Great Deal | $4,228 under","$11,999"
154,Honda,Civic, EX,2015,Used,"94,971 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,Good Deal,"$14,999"
155,Toyota,Camry, XSE,2018,Used,"58,301 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$29,998"
156,BMW,430, Gran Coupe i xDrive,2019,Used,"42,074 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$32,998"
157,Acura,MDX, 3.7L Technology,2013,Used,"97,198 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$23,998"
158,Nissan,Altima, 2.5 S,2017,Used,"73,037 mi.",Car Corporation of Maryland,10 mi. from 21227,4.3,98 ,Great Deal | $766 under,"$14,977"
159,Toyota,Tacoma, SR,2019,Used,"44,551 mi.",Ourisman Chrysler Dodge Jeep Ram of Baltimore,10 mi. from 21227,4.3,98 ,Good Deal,"$35,975"
160,Porsche,911, Carrera S,2017,Used,"22,000 mi.",n/a,5 mi. from 21227,n/a,n/a,Good Deal,"$124,500"
161,Chevrolet,Colorado, WT,2019,Used,"43,181 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Great Deal | $237 under,"$26,000"
