VIN,brand,model,trim,manufacture_year,mileage,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state,MPG
 1C4PJMBS4FW641949,Jeep,Cherokee,Trailhawk 4WD,2015,93072, Automatic,4WD,Gas,White,Black,0,1,Personaluse,19000,7, IN,22.0
 3FA6P0HD9JR279159,Ford,Fusion,SE FWD,2018,24894, Automatic,FWD,Gas,Gray,Gray,0,2,Fleetuse,23475,4, FL,26.5
 3C4NJDCB9KT638468,Jeep,Compass,Limited 4WD,2019,37055, Automatic,4WD,Gas,Gray,Black,0,2,Personaluse,24590,3, FL,26.0
 2C4RDGCG5KR775531,Dodge,Grand Caravan,SXT,2019,49103, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,23344,3, CO,21.0
 KL4CJGSM2KB818219,Buick,Encore,Essence AWD,2019,32559, Automatic,AWD,Gas,Gray,Black,0,1,Fleetuse,25125,3, CA,26.5
 4T1B11HK2JU094910,Toyota,Camry,LE I4 Automatic,2018,104570, Automatic,FWD,Gas,Gray,Black,0,2,Personaluse,19998,4, TX,33.5
 5XXGT4L32KG379118,Kia,Optima,S,2019,44877, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,22998,3, SC,28.5
 WP1AA2A55MLB17745,Porsche,Macan,AWD,2021,1411, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,58900,1, IN,21.0
 JTJAM7BX1M5284028,Lexus,GX,GX 460 Premium,2021,19515, Automatic,4WD,Gas,Black,Red,0,1,Personaluse,55495,1, FL,17.0
 3KPFL4A75JE185238,Kia,Forte,LX Sedan Automatic,2018,66296, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,15990,4, ID,33.0
 3GNKBHRS4LS612955,Chevrolet,Blazer,2LT AWD,2020,22569, Automatic,AWD,Gas,Red,Black,0,2,Personaluse,34000,2, PA,24.0
 2HGFC3A50LH753915,Honda,Civic,Si Coupe,2020,27178, Manual,FWD,Gas,White,Black,0,2,Personaluse,29998,2, FL,31.0
 5TDJZRFH2KS565183,Toyota,Highlander,XLE V6 AWD,2019,80651, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,32500,3, OH,23.0
 1FM5K8D81DGA75796,Ford,Explorer,XLT 4WD,2013,98476, Automatic,4WD,Gas,Blue,Black,0,2,Personaluse,17800,9, CA,20.0
 JTMN1RFV0KD503226,Toyota,RAV4,Limited AWD,2019,71762, Automatic,AWD,Gas,White,Gray,0,1,Personaluse,31996,3, CA,29.0
 5N1DR3CA6NC210486,Nissan,Pathfinder,SL FWD,2022,3905, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,42891,0, TX,23.5
 5N1DL0MN7LC532777,INFINITI,QX60,PURE FWD,2020,50260, Automatic,FWD,Gas,Black,Gray,0,2,Fleetuse,31998,2, FL,23.5
 WDDWK8EB3KF776772,Mercedes-Benz,C-Class,C 300 Cabriolet 4MATIC,2019,12583, Automatic,AWD,Gas,White,Black,0,2,Personaluse,56000,3, NY,21.5
 5TFRY5F10LX262321,Toyota,Tundra,SR Double Cab 6.5' Bed 5.7L 2WD,2020,35419, Automatic,RWD,Gas,Red,Gray,1,2,Fleetuse,32998,2, NH,15.5
 5YFBURHE9FP359413,Toyota,Corolla,LE CVT,2015,45376, Automatic,FWD,Gas,Silver,Gray,0,1,Personaluse,16990,7, TX,33.5
 1GCPYFED4MZ149826,Chevrolet,Silverado 1500,LT Trail Boss Crew Cab Short Bed 4WD,2021,14634, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,50000,1, IL,18.5
 1FM5K8D86KGB49064,Ford,Explorer,XLT 4WD,2019,64097, Automatic,4WD,Gas,Silver,Black,0,1,Fleetuse,27590,3, TX,19.0
 5UXKR2C55J0X08245,BMW,X5,sDrive35i RWD,2018,35492, Automatic,RWD,Gas,Black,Black,1,2,Personaluse,41998,4, MA,21.5
 5TFDY5F15MX020684,Toyota,Tundra,SR5 CrewMax 5.5' Bed 5.7L 4WD,2021,28904, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,46590,1, TX,15.0
 WA1ANAFY9J2012852,Audi,Q5,Premium,2018,85043, Automatic,AWD,Gas,Gray,Black,0,1,Personaluse,25966,4, TX,25.0
 1FM5K7D87GGB70586,Ford,Explorer,XLT FWD,2016,71359, Automatic,FWD,Gas,Gray,Black,1,2,Personaluse,21000,6, FL,20.5
 1N4BL4CV0LC154537,Nissan,Altima,2.5 SR FWD,2020,15917, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,24977,2, CA,32.0
 4JGDA5GB8KB204597,Mercedes-Benz,GLE,GLE 400 4MATIC,2019,40780, Automatic,RWD,Gas,Black,Black,0,1,Personaluse,44000,3, NV,20.5
