,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state
9092, 5FNRL5H64GB155828,Honda,Odyssey,EX-L,2016,160530,19.0,28.0, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,17416,6, FL
9093, 3C4PDDDGXDT716799,Dodge,Journey,Crew AWD,2013,92528,16.0,24.0, Automatic,AWD,Gas,White,Black,0,2,Fleetuse,12700,9, CA
9094, 5TDZY5G14HS066751,Toyota,Sequoia,SR5 RWD,2017,48507,13.0,17.0, Automatic,RWD,Gas,White,Gray,0,1,Personaluse,36998,5, NC
9095, 4T1BK3DB1CU443086,Toyota,Avalon,Sedan,2012,83343,19.0,28.0, Automatic,FWD,Gas,Silver,Gray,0,2,Fleetuse,16990,10, NV
9096, JTNKHMBX3L1091245,Toyota,C-HR,XLE FWD,2020,32091,27.0,31.0, Automatic,FWD,Gas,Blue,Black,0,1,Personaluse,26998,2, CA
9097, 4T1K61AK5NU620707,Toyota,Camry,XSE Automatic FWD,2022,19821,27.0,38.0, Automatic,FWD,Gas,Gray,Red,0,1,Personaluse,38998,0, FL
9098, 1FMSK8FH4LGC59922,Ford,Explorer,Limited 4WD,2020,19627,20.0,27.0, Automatic,4WD,Gas,Green,Black,0,1,Personaluse,46998,2, PA
9099, 5J8TB4H78HL004146,Acura,RDX,AWD with Advance Package,2017,78873,19.0,27.0, Automatic,AWD,Gas,Silver,Gray,0,1,Personaluse,24500,5, AK
9100, 3VW267AJ2GM407927,Volkswagen,Jetta,1.4T S Auto,2016,71400,28.0,39.0, Automatic,FWD,Gas,Gray,Black,0,2,Personaluse,14990,6, MO
9101, JF2GTANCXKH301489,Subaru,Crosstrek,2.0i Limited CVT,2019,32655,27.0,33.0, Automatic,AWD,Gas,Red,Black,0,1,Personaluse,29590,3, TX
9102, 4T1BK1EB1JU279189,Toyota,Avalon,XLE,2018,103986,21.0,30.0, Automatic,FWD,Gas,Gray,Beige,0,2,Personaluse,21590,4, NE
9103, 5FNRL5H61EB052959,Honda,Odyssey,EX-L,2014,81165,19.0,28.0, Automatic,FWD,Gas,Blue,Gray,0,2,Personaluse,20500,8, CA
9104, 3TMCZ5AN7JM176990,Toyota,Tacoma,SR Double Cab 5' Bed V6 4WD Automatic,2018,14069,18.0,22.0, Automatic,4WD,Gas,Gray,Gray,0,1,Personaluse,36990,4, FL
9105, 3FA6P0H75GR385272,Ford,Fusion,SE FWD,2016,57560,22.0,34.0, Automatic,FWD,Gas,Silver,Black,2,3,Fleetuse,14500,6, TX
9106, 2C4RC1BG0JR186144,Chrysler,Pacifica,Touring L,2018,90924,19.0,28.0, Automatic,FWD,Gas,White,Black,0,2,Fleetuse,22990,4, VA
9107, KM8J3CAL1LU119268,Hyundai,Tucson,Ultimate AWD,2020,10407,21.0,26.0, Automatic,AWD,Gas,Silver,Black,0,1,Personaluse,33439,2, IL
9108, 1FA6P8CF1L5183085,Ford,Mustang,GT Premium Fastback,2020,6550,15.0,24.0, Manual,RWD,Gas,Gray,Black,0,2,Personaluse,43998,2, TX
9109, 3GKALSEX2LL142410,GMC,Terrain,Denali FWD,2020,22434,22.0,28.0, Automatic,FWD,Gas,White,Black,0,1,Personaluse,35990,2, FL
9110, 1C4GJXAG5LW285151,Jeep,Wrangler,Willys,2020,25784,17.0,25.0, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,42998,2, TX
9111, 2C4RDGCG1KR713060,Dodge,Grand Caravan,SXT,2019,71552,17.0,25.0, Automatic,FWD,Gas,Gray,Black,0,2,Personaluse,21999,3, GA
9112, 1HGCV1F34JA204349,Honda,Accord,Sport 1.5T CVT,2018,55084,29.0,35.0, Automatic,FWD,Gas,White,Black,0,1,Personaluse,26998,4, TX
9113, 3FA6P0LU0GR106565,Ford,Fusion,Hybrid SE FWD,2016,42455,41.0,44.0, Automatic,FWD,Hybrid,Black,Black,0,4,Fleetuse,20998,6, CA
9114, 5FNRL6H74LB063921,Honda,Odyssey,EX-L,2020,63747,19.0,28.0, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,38349,2, TX
9115, JTHBE1D27H5028998,Lexus,IS,IS 350 RWD,2017,99275,19.0,28.0, Automatic,RWD,Gas,White,Red,0,1,Personaluse,29998,5, OH
9116, 1FTEW1E40KFA25924,Ford,F-150,Platinum SuperCrew 5.5' Box 4WD,2019,54608,16.0,22.0, Automatic,4WD,Gas,Gray,Black,0,2,Personaluse,52998,3, CO
9117, 4T1BF3EKXBU674361,Toyota,Camry,SE I4 Automatic,2011,92278,22.0,32.0, Automatic,FWD,Gas,White,Black,1,2,Personaluse,11450,11, TX
9118, 3C4NJDBB9HT665941,Jeep,Compass,2017.5 Latitude 4WD,2017,64859,22.0,31.0, Automatic,4WD,Gas,Silver,Black,0,2,Personaluse,19990,5, AZ
9119, 1GCVKREC7GZ350920,Chevrolet,Silverado 1500,Z71 LT Double Cab Standard Box 4WD,2016,73106,17.0,22.0, Automatic,4WD,Gas,Silver,Black,0,2,Personaluse,26495,6, TX
9120, 3FA6P0VP2HR391715,Ford,Fusion,Sport AWD,2017,87914,17.0,26.0, Automatic,AWD,Gas,Black,Gray,0,1,Personaluse,21998,5, NC
9121, 4T1C11AK8LU360299,Toyota,Camry,LE FWD Automatic,2020,87077,28.0,39.0, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,21790,2, TX
9122, 1FADP3N25GL286015,Ford,Focus,Titanium Hatchback,2016,50480,26.0,38.0, Automatic,FWD,Gas,Silver,Gray,0,3,Personaluse,16590,6, TX
9123, KNDPMCACXJ7464256,Kia,Sportage,LX AWD,2018,28946,21.0,25.0, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,22590,4, FL
9124, 1FMDE5BH1MLA99625,Ford,Bronco,Big Bend 4 Door 4WD,2021,4627,20.0,22.0, Manual,4WD,Gas,Gray,Gray,0,1,Personaluse,56998,1, MO
9125, KM8K12AA7KU228612,Hyundai,Kona,SE FWD Automatic,2019,60596,27.0,33.0, Automatic,FWD,Gas,Red,Black,0,3,Fleetuse,21997,3, NJ
9126, 1GNSKHKC6HR199837,Chevrolet,Suburban,LT 4WD,2017,102038,15.0,22.0, Automatic,4WD,Gas,White,Brown,0,2,Personaluse,35998,5, FL
9127, 3FA6P0H71ER107207,Ford,Fusion,SE FWD,2014,153980,22.0,34.0, Automatic,FWD,Gas,Blue,Black,4,2,Personaluse,6950,8, TX
9128, 5FNYF6H5XGB067804,Honda,Pilot,EX-L AWD,2016,88621,18.0,26.0, Automatic,AWD,Gas,Gray,Gray,0,1,Personaluse,26998,6, CA
9129, SADCL2GX3KA398521,Jaguar,F-PACE,R-Sport 30t,2019,11612,22.0,27.0, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,50998,3, MD
