,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
1851, JTEBU5JR1J5488219,Toyota,['4Runner'],SR5 4WD,2018,"84,782",17,20, Automatic, 4WD,Gas,Silver,Black,0,2, Fleet use,"Winter Park, FL","32,000"
1852, 3KPFL4A73HE038412,Kia,['Forte'],LX Sedan Automatic,2017,"112,051",29,38, Automatic, FWD,Gas,Black,Gray,0,1, Personal use,"Houston, TX","11,988"
1853, 1GKKNKLA0KZ127800,GMC,['Acadia'],SLE with SLE-1 FWD,2019,"30,815",21,26, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Poway, CA","26,990"
1854, 1C4RJFAG6KC619528,Jeep,"['Grand', 'Cherokee']",Upland 4WD,2019,"19,468",18,25, Automatic, 4WD,Gas,White,Black,0,2, Personal use,"Pinellas Park, FL","36,998"
1855, 5NPEF4JA3LH041202,Hyundai,['Sonata'],SEL,2020,"26,858",27,37, Automatic, FWD,Gas,Red,Gray,0,1, Personal use,"Austin, TX","28,000"
1856, 3FA6P0H77JR277999,Ford,['Fusion'],SE FWD,2018,"86,525",21,32, Automatic, FWD,Gas,White,Black,0,2, Fleet use,"Killeen, TX","17,590"
1857, 1C4RJFBG7LC243342,Jeep,"['Grand', 'Cherokee']",Limited 4WD,2020,"23,336",18,25, Automatic, 4WD,Gas,Blue,Black,0,2, Personal use,"Canfield, OH","38,997"
1858, 3GCUKSEC8HG407730,Chevrolet,"['Silverado', '1500']",LTZ Z71 Crew Cab Short Box 4WD,2017,"99,167",15,20, Automatic, 4WD,Gas,Black,Black,0,2, Personal use,"Freeport, NY","34,900"
1859, 1FMCU9GD0HUC62681,Ford,['Escape'],SE 4WD,2017,"101,977",22,28, Automatic, 4WD,Gas,White,Black,0,1, Personal use,"San Angelo, TX","15,500"
1860, 1C4RJFLGXJC469547,Jeep,"['Grand', 'Cherokee']",Trailhawk 4WD,2018,"50,220",18,25, Automatic, 4WD,Gas,White,Red,0,1, Personal use,"Tomball, TX","33,718"
1861, 1C4PJLCB8FW741688,Jeep,['Cherokee'],Latitude FWD,2015,"70,432",22,31, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Stockton, CA","17,488"
1862, 1FTBR2C82LKA09335,Ford,"['Transit', 'Cargo', 'Van']","T-250 148"" Medium Roof 9070 GVWR AWD",2020,"42,324",,,,,,White,Gray,1,1, Personal use,"San Antonio, TX","51,555"
1863, 1FMCU0GD9JUC84986,Ford,['Escape'],SE FWD,2018,"46,184",23,30, Automatic, FWD,Gas,White,Black,0,2, Fleet use,"Bronx, NY","19,590"
1864, 1J4BA3H15BL529153,Jeep,['Wrangler'],Unlimited Sport 4WD,2011,"88,000",15,19, Automatic, 4WD,Gas,Black,Black,1,4, Personal use,"Titusville, FL","14,999"
1865, 1C4RJFAG4KC793193,Jeep,"['Grand', 'Cherokee']",Laredo E 4WD,2019,"50,957",18,25, Automatic, 4WD,Gas,White,Black,0,2, Fleet use,"White Marsh, MD","27,990"
1866, 3TMDZ5BN5KM059266,Toyota,['Tacoma'],TRD Sport Double Cab 6' Bed V6 4WD Automatic,2019,"19,212",,,,,,White,Unknown,1,1, Personal use,"Summit, IL","36,100"
1867, 1C6RRFFG5LN231365,Ram,['1500'],"Big Horn Crew Cab 5'7"" Box 4WD",2020,"25,541",19,24, Automatic, 4WD,Gas,Gray,Black,0,1, Personal use,"Lumberton, NJ","37,990"
1868, 5N1AZ2BJ6LN144098,Nissan,['Murano'],SV FWD,2020,"50,051",20,28, Automatic, FWD,Gas,Black,Gray,0,1, Fleet use,"Palm Coast, FL","24,990"
1869, 3C6TR5CTXHG509002,Ram,['2500'],"Tradesman Crew Cab 6'4"" Box 4WD",2017,"82,381",,, Automatic, 4WD,Gas,Gray,Gray,0,1, Personal use,"Maumee, OH","29,599"
1870, 1FT7X2B6XFED30506,Ford,"['Super', 'Duty', 'F-250']","XLT SuperCab 158"" 4WD",2015,"85,000",,, Automatic, 4WD,Gas,White,Gray,0,1, Personal use,"Victorville, CA","27,898"
